locus_tag	ftype	length_bp	gene	EC_number	COG	product
LMAHELFL_02185	CDS	1983	pdeR	3.1.4.52	COG2199	Cyclic di-GMP phosphodiesterase PdeR
LMAHELFL_02186	CDS	180				hypothetical protein
LMAHELFL_02187	CDS	723	srlR_5		COG1349	Glucitol operon repressor
LMAHELFL_02188	CDS	219	osmB			Osmotically-inducible lipoprotein B
LMAHELFL_02189	CDS	327	yciH		COG0023	putative protein YciH
LMAHELFL_02190	CDS	738	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
LMAHELFL_02191	CDS	1170	lapB		COG2956	Lipopolysaccharide assembly protein B
LMAHELFL_02192	CDS	309	lapA		COG3771	Lipopolysaccharide assembly protein A
LMAHELFL_02193	CDS	765	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
LMAHELFL_02194	CDS	591	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
LMAHELFL_02195	CDS	2676	acnA	4.2.1.3	COG1048	Aconitate hydratase A
LMAHELFL_02196	CDS	129	ymiA			Protein YmiA
LMAHELFL_02197	CDS	975	cysB			HTH-type transcriptional regulator CysB
LMAHELFL_02198	CDS	2598	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
LMAHELFL_02199	CDS	252	yciN			Protein YciN
LMAHELFL_02200	CDS	1041	sohB	3.4.21.-	COG0616	putative protease SohB
LMAHELFL_02201	CDS	762	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
LMAHELFL_02202	CDS	591	btuR	2.5.1.17	COG2109	Corrinoid adenosyltransferase
LMAHELFL_02203	CDS	876	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
LMAHELFL_02204	CDS	621	yciO		COG0009	putative protein YciO
LMAHELFL_02205	CDS	870	yciV	3.1.13.-	COG0613	5'-3' exoribonuclease
LMAHELFL_02206	CDS	1563	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
LMAHELFL_02207	CDS	1596	trpGD		COG0512	Bifunctional protein TrpGD
LMAHELFL_02208	CDS	1359	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
LMAHELFL_02209	CDS	1194	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
LMAHELFL_02210	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
LMAHELFL_02211	CDS	183				hypothetical protein
LMAHELFL_02212	CDS	504	yciF		COG3685	Protein YciF
LMAHELFL_02213	CDS	507	yciE		COG3685	Protein YciE
LMAHELFL_02214	CDS	879		1.11.1.6		Manganese catalase
LMAHELFL_02215	CDS	639	ompW		COG3047	Outer membrane protein W
LMAHELFL_02216	CDS	405				hypothetical protein
LMAHELFL_02217	CDS	744				hypothetical protein
LMAHELFL_02218	CDS	540	yciB		COG2917	putative intracellular septation protein A
LMAHELFL_02219	CDS	402		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
LMAHELFL_02220	CDS	723	tonB		COG0810	Protein TonB
LMAHELFL_02221	CDS	297	yciI		COG2350	Protein YciI
LMAHELFL_02222	CDS	174				hypothetical protein
LMAHELFL_02223	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
LMAHELFL_02224	CDS	330				hypothetical protein
LMAHELFL_02225	CDS	837				hypothetical protein
LMAHELFL_02226	CDS	1005	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
LMAHELFL_02227	CDS	1008	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
LMAHELFL_02228	CDS	909	oppC		COG1173	Oligopeptide transport system permease protein OppC
LMAHELFL_02229	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
LMAHELFL_02230	CDS	1632	oppA		COG4166	Periplasmic oligopeptide-binding protein
LMAHELFL_02231	CDS	648				hypothetical protein
LMAHELFL_02232	CDS	2679	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
LMAHELFL_02233	CDS	618	tdk	2.7.1.21	COG1435	Thymidine kinase
LMAHELFL_02234	CDS	414	hns_1		COG2916	DNA-binding protein H-NS
LMAHELFL_02235	CDS	909	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
LMAHELFL_02236	CDS	1014	rssB		COG0784	Regulator of RpoS
LMAHELFL_02237	CDS	897			COG1752	putative NTE family protein
LMAHELFL_02238	CDS	459				hypothetical protein
LMAHELFL_02239	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
LMAHELFL_02240	tRNA	85				tRNA-Tyr(gta)
LMAHELFL_02241	tRNA	85				tRNA-Tyr(gta)
LMAHELFL_02242	CDS	1530				hypothetical protein
LMAHELFL_02243	CDS	678	narI	1.7.5.1	COG2181	Respiratory nitrate reductase 1 gamma chain
LMAHELFL_02244	CDS	711	narJ		COG2180	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
LMAHELFL_02245	CDS	1536	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
LMAHELFL_02246	CDS	3744	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
LMAHELFL_02247	CDS	1398	narK		COG2223	Nitrate/nitrite transporter NarK
LMAHELFL_02248	CDS	1797	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
LMAHELFL_02249	CDS	651	narL_1		COG2197	Nitrate/nitrite response regulator protein NarL
LMAHELFL_02250	CDS	1530				hypothetical protein
LMAHELFL_02251	CDS	354	ychN		COG1553	Protein YchN
LMAHELFL_02252	CDS	231	chaB		COG4572	Putative cation transport regulator ChaB
LMAHELFL_02253	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
LMAHELFL_02254	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
LMAHELFL_02255	CDS	810				hypothetical protein
LMAHELFL_02256	CDS	390	ychQ		COG3094	Protein YchQ
LMAHELFL_02257	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
LMAHELFL_02258	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
LMAHELFL_02259	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
LMAHELFL_02260	CDS	624	lolB		COG3017	Outer-membrane lipoprotein LolB
LMAHELFL_02261	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
LMAHELFL_02262	CDS	948	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
LMAHELFL_02263	CDS	1659	dauA		COG0659	C4-dicarboxylic acid transporter DauA
LMAHELFL_02264	CDS	279				hypothetical protein
LMAHELFL_02265	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
LMAHELFL_02266	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
LMAHELFL_02267	CDS	1266				hypothetical protein
LMAHELFL_02268	CDS	1119	hyaA	1.12.99.6	COG1740	Hydrogenase-1 small chain
LMAHELFL_02269	CDS	1794	hyaB_2	1.12.99.6	COG0374	Hydrogenase-1 large chain
LMAHELFL_02270	CDS	732	hyaC_2		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
LMAHELFL_02271	CDS	597	hyaD_2	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
LMAHELFL_02272	CDS	456	hyaE			Hydrogenase-1 operon protein HyaE
LMAHELFL_02273	CDS	849				hypothetical protein
LMAHELFL_02274	CDS	1545	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
LMAHELFL_02275	CDS	1137	appB_2	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
LMAHELFL_02276	CDS	90	appX			Putative cytochrome bd-II ubiquinol oxidase subunit AppX
LMAHELFL_02277	CDS	1275	gdhA_2	1.4.1.3	COG0334	Glutamate dehydrogenase
LMAHELFL_02278	CDS	1713	treA	3.2.1.28	COG1626	Periplasmic trehalase
LMAHELFL_02279	CDS	255				hypothetical protein
LMAHELFL_02280	CDS	735	ycgR		COG5581	Flagellar brake protein YcgR
LMAHELFL_02281	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
LMAHELFL_02282	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
LMAHELFL_02283	CDS	1734	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
LMAHELFL_02284	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
LMAHELFL_02285	CDS	1299	dadA_2	1.4.99.-	COG0665	D-amino acid dehydrogenase
LMAHELFL_02286	CDS	1533				hypothetical protein
LMAHELFL_02287	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
LMAHELFL_02288	CDS	1545	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
LMAHELFL_02289	CDS	531	dsbB_1		COG1495	Disulfide bond formation protein B
LMAHELFL_02290	CDS	342	yeaR_2		COG3615	putative protein YeaR
LMAHELFL_02291	CDS	174	gnsA			Protein GnsA
LMAHELFL_02292	CDS	138				hypothetical protein
LMAHELFL_02293	CDS	447				hypothetical protein
LMAHELFL_02294	CDS	660	ycgM		COG0179	putative protein YcgM
LMAHELFL_02295	CDS	294	ycgL		COG3100	Protein YcgL
LMAHELFL_02296	CDS	708	minC		COG0850	Septum site-determining protein MinC
LMAHELFL_02297	CDS	813	minD		COG2894	Septum site-determining protein MinD
LMAHELFL_02298	CDS	267	minE		COG0851	Cell division topological specificity factor
LMAHELFL_02299	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
LMAHELFL_02300	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
LMAHELFL_02301	CDS	582	slp		COG3065	Outer membrane protein Slp
LMAHELFL_02302	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
LMAHELFL_02303	CDS	1911	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
LMAHELFL_02304	CDS	345	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
LMAHELFL_02305	CDS	180				hypothetical protein
LMAHELFL_02306	CDS	1365	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
LMAHELFL_02307	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
LMAHELFL_02308	CDS	1365	sdaA_1	4.3.1.17	COG1760	L-serine dehydratase 1
LMAHELFL_02309	CDS	1602	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
LMAHELFL_02310	CDS	1560				hypothetical protein
LMAHELFL_02311	CDS	969	manX	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
LMAHELFL_02312	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
LMAHELFL_02313	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
LMAHELFL_02314	CDS	459				hypothetical protein
LMAHELFL_02315	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
LMAHELFL_02316	CDS	810	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
LMAHELFL_02317	CDS	1746	ftsI_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
LMAHELFL_02318	CDS	210	cspC			Cold shock-like protein CspC
LMAHELFL_02319	CDS	288				hypothetical protein
LMAHELFL_02320	CDS	144	mgrB			PhoP/PhoQ regulator MgrB
LMAHELFL_02321	CDS	240				hypothetical protein
LMAHELFL_02322	CDS	792	kdgR		COG1414	Transcriptional regulator KdgR
LMAHELFL_02323	CDS	1374	ribZ			Riboflavin transporter RibZ
LMAHELFL_02324	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
LMAHELFL_02325	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
LMAHELFL_02326	CDS	687	proQ		COG3109	RNA chaperone ProQ
LMAHELFL_02327	CDS	570	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
LMAHELFL_02328	CDS	1284	yebS		COG2995	Intermembrane transport protein YebS
LMAHELFL_02329	CDS	2634	yebT		COG3008	Intermembrane transport protein YebT
LMAHELFL_02330	CDS	1542	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
LMAHELFL_02331	CDS	240	yebV			putative protein YebV
LMAHELFL_02332	CDS	192				hypothetical protein
LMAHELFL_02333	CDS	651	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
LMAHELFL_02334	CDS	234				hypothetical protein
LMAHELFL_02335	CDS	165				hypothetical protein
LMAHELFL_02336	CDS	723	sopE2			Guanine nucleotide exchange factor sopE2
LMAHELFL_02337	CDS	396	ydfO		COG5562	putative protein YdfO
LMAHELFL_02338	CDS	477				hypothetical protein
LMAHELFL_02339	CDS	174				hypothetical protein
LMAHELFL_02340	CDS	204	papC_3		COG3188	Outer membrane usher protein PapC
LMAHELFL_02341	CDS	1014				hypothetical protein
LMAHELFL_02342	CDS	513				hypothetical protein
LMAHELFL_02343	CDS	255				hypothetical protein
LMAHELFL_02344	CDS	465	cotSA	2.4.-.-	COG0438	Spore coat protein SA
LMAHELFL_02345	CDS	420		2.3.1.-		Acetyltransferase
LMAHELFL_02346	CDS	147				hypothetical protein
LMAHELFL_02347	CDS	858				IS256 family transposase IS285
LMAHELFL_02348	CDS	915	yedA_1			putative inner membrane transporter YedA
LMAHELFL_02349	CDS	159				hypothetical protein
LMAHELFL_02350	CDS	615	dsbB_2			Disulfide bond formation protein B
LMAHELFL_02351	CDS	123				hypothetical protein
LMAHELFL_02352	CDS	159				hypothetical protein
LMAHELFL_02353	CDS	501	tfaE			Prophage tail fiber assembly protein TfaE
LMAHELFL_02354	CDS	432	ymdB_2	3.1.1.106		O-acetyl-ADP-ribose deacetylase
LMAHELFL_02355	CDS	264				hypothetical protein
LMAHELFL_02356	CDS	168				hypothetical protein
LMAHELFL_02357	CDS	255				hypothetical protein
LMAHELFL_02358	CDS	231				hypothetical protein
LMAHELFL_02359	CDS	1107	recE	3.1.11.-		Exodeoxyribonuclease 8
LMAHELFL_02360	CDS	1080				hypothetical protein
LMAHELFL_02361	CDS	354				hypothetical protein
LMAHELFL_02362	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
LMAHELFL_02363	CDS	375	yobA		COG2372	Protein YobA
LMAHELFL_02364	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
LMAHELFL_02365	CDS	657				hypothetical protein
LMAHELFL_02366	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
LMAHELFL_02367	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
LMAHELFL_02368	CDS	660	yebE		COG2979	Inner membrane protein YebE
LMAHELFL_02369	CDS	354	yebF			Protein YebF
LMAHELFL_02370	CDS	291				hypothetical protein
LMAHELFL_02371	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
LMAHELFL_02372	CDS	642	eda		COG0800	KHG/KDPG aldolase
LMAHELFL_02373	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
LMAHELFL_02374	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
LMAHELFL_02375	CDS	870	hexR_1		COG1737	HTH-type transcriptional regulator HexR
LMAHELFL_02376	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
LMAHELFL_02377	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
LMAHELFL_02378	CDS	1320	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
LMAHELFL_02379	CDS	1002	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
LMAHELFL_02380	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
LMAHELFL_02381	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
LMAHELFL_02382	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
LMAHELFL_02383	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
LMAHELFL_02384	CDS	693				hypothetical protein
LMAHELFL_02385	CDS	600				hypothetical protein
LMAHELFL_02386	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
LMAHELFL_02387	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
LMAHELFL_02388	CDS	453	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
LMAHELFL_02389	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
LMAHELFL_02390	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
LMAHELFL_02391	CDS	819				hypothetical protein
LMAHELFL_02392	CDS	396	yecN		COG3788	Inner membrane protein YecN
LMAHELFL_02393	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
LMAHELFL_02394	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
LMAHELFL_02395	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
LMAHELFL_02396	CDS	570	yecM		COG3102	Protein YecM
LMAHELFL_02397	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
LMAHELFL_02398	CDS	1872	mrdA_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
LMAHELFL_02399	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
LMAHELFL_02400	CDS	393	flhE			Flagellar protein FlhE
LMAHELFL_02401	CDS	2079	flhA		COG1298	Flagellar biosynthesis protein FlhA
LMAHELFL_02402	CDS	1152	flhB		COG1377	Flagellar biosynthetic protein FlhB
LMAHELFL_02403	CDS	648	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
LMAHELFL_02404	CDS	390	cheY		COG0784	Chemotaxis protein CheY
LMAHELFL_02405	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
LMAHELFL_02406	CDS	867	cheR	2.1.1.80		Chemotaxis protein methyltransferase
LMAHELFL_02407	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
LMAHELFL_02408	CDS	504	cheW		COG0835	Chemotaxis protein CheW
LMAHELFL_02409	CDS	2016	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
LMAHELFL_02410	CDS	930	motB		COG1360	Motility protein B
LMAHELFL_02411	CDS	888	motA		COG1291	Motility protein A
LMAHELFL_02412	CDS	579	flhC			Flagellar transcriptional regulator FlhC
LMAHELFL_02413	CDS	342	flhD			Flagellar transcriptional regulator FlhD
LMAHELFL_02414	CDS	429	uspC		COG0589	Universal stress protein C
LMAHELFL_02415	CDS	1422	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
LMAHELFL_02416	CDS	903	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
LMAHELFL_02417	CDS	558	yajL_2	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
LMAHELFL_02418	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
LMAHELFL_02419	CDS	639				hypothetical protein
LMAHELFL_02420	CDS	336				hypothetical protein
LMAHELFL_02421	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
LMAHELFL_02422	CDS	240				hypothetical protein
LMAHELFL_02423	CDS	1269	tyrP		COG0814	Tyrosine-specific transport protein
LMAHELFL_02424	CDS	666				hypothetical protein
LMAHELFL_02425	CDS	327				hypothetical protein
LMAHELFL_02426	CDS	1434				hypothetical protein
LMAHELFL_02427	CDS	285				hypothetical protein
LMAHELFL_02428	tRNA	87				tRNA-Leu(taa)
LMAHELFL_02429	tRNA	74				tRNA-Cys(gca)
LMAHELFL_02430	tRNA	76				tRNA-Gly(gcc)
LMAHELFL_02431	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
LMAHELFL_02432	CDS	1833	uvrC		COG0322	UvrABC system protein C
LMAHELFL_02433	CDS	657	uvrY		COG2197	Response regulator UvrY
LMAHELFL_02434	CDS	225				hypothetical protein
LMAHELFL_02435	CDS	723	sdiA		COG2771	Regulatory protein SdiA
LMAHELFL_02436	CDS	753	artM_2		COG1126	Arginine transport ATP-binding protein ArtM
LMAHELFL_02437	CDS	669	yecS_3		COG0765	L-cystine transport system permease protein YecS
LMAHELFL_02438	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
LMAHELFL_02439	CDS	801	fliY_2		COG0834	L-cystine-binding protein FliY
LMAHELFL_02440	CDS	552	fliZ			Regulator of sigma S factor FliZ
LMAHELFL_02441	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
LMAHELFL_02442	CDS	1206				hypothetical protein
LMAHELFL_02443	CDS	1521	fljB_2		COG1344	Phase 2 flagellin
LMAHELFL_02444	CDS	1404	fliD		COG1345	Flagellar hook-associated protein 2
LMAHELFL_02445	CDS	408	fliS		COG1516	Flagellar secretion chaperone FliS
LMAHELFL_02446	CDS	369	fliT			Flagellar protein FliT
LMAHELFL_02447	CDS	1485	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
LMAHELFL_02448	CDS	414				hypothetical protein
LMAHELFL_02449	CDS	1206				hypothetical protein
LMAHELFL_02450	CDS	234	yedF		COG0425	Putative sulfur carrier protein YedF
LMAHELFL_02451	CDS	354				hypothetical protein
LMAHELFL_02452	CDS	315	fliE		COG1677	Flagellar hook-basal body complex protein FliE
LMAHELFL_02453	CDS	1683	fliF		COG1766	Flagellar M-ring protein
LMAHELFL_02454	CDS	996	fliG		COG1536	Flagellar motor switch protein FliG
LMAHELFL_02455	CDS	708	fliH		COG1317	Flagellar assembly protein FliH
LMAHELFL_02456	CDS	1371	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
LMAHELFL_02457	CDS	444	fliJ		COG2882	Flagellar FliJ protein
LMAHELFL_02458	CDS	1224	fliK		COG3144	Flagellar hook-length control protein
LMAHELFL_02459	CDS	468				hypothetical protein
LMAHELFL_02460	CDS	1005	fliM		COG1868	Flagellar motor switch protein FliM
LMAHELFL_02461	CDS	414	fliN		COG1886	Flagellar motor switch protein FliN
LMAHELFL_02462	CDS	378	fliO		COG3190	Flagellar protein FliO
LMAHELFL_02463	CDS	738	fliP		COG1338	Flagellar biosynthetic protein FliP
LMAHELFL_02464	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
LMAHELFL_02465	CDS	795	fliR		COG1684	Flagellar biosynthetic protein FliR
LMAHELFL_02466	CDS	624	rcsA_1		COG2771	Transcriptional regulatory protein RcsA
LMAHELFL_02467	CDS	195	dsrB			Protein DsrB
LMAHELFL_02468	CDS	228				hypothetical protein
LMAHELFL_02469	CDS	816	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
LMAHELFL_02470	CDS	1713	dgcQ	2.7.7.65		putative diguanylate cyclase DgcQ
LMAHELFL_02471	CDS	186				hypothetical protein
LMAHELFL_02472	CDS	912	yedI		COG2354	Inner membrane protein YedI
LMAHELFL_02473	CDS	921	yedA_2			putative inner membrane transporter YedA
LMAHELFL_02474	CDS	471	vsr	3.1.-.-	COG3727	Very short patch repair protein
LMAHELFL_02475	CDS	1431	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
LMAHELFL_02476	CDS	696	yedJ		COG1418	putative protein YedJ
LMAHELFL_02477	CDS	312	yedR			Inner membrane protein YedR
LMAHELFL_02478	CDS	1212	ompN_2		COG3203	Outer membrane porin N
LMAHELFL_02479	CDS	213	cspJ			Cold shock-like protein CspJ
LMAHELFL_02480	CDS	1269	umuC_1		COG0389	Protein UmuC
LMAHELFL_02481	CDS	420	umuD	3.4.21.-	COG1974	Protein UmuD
LMAHELFL_02482	tRNA	90				tRNA-Ser(cga)
LMAHELFL_02483	CDS	798	mtfA		COG3228	Protein MtfA
LMAHELFL_02484	tRNA	76				tRNA-Asn(gtt)
LMAHELFL_02485	tRNA	76				tRNA-Asn(gtt)
LMAHELFL_02486	CDS	474				hypothetical protein
LMAHELFL_02487	CDS	699				hypothetical protein
LMAHELFL_02488	CDS	2169				hypothetical protein
LMAHELFL_02489	CDS	1731				hypothetical protein
LMAHELFL_02490	CDS	174				hypothetical protein
LMAHELFL_02491	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
LMAHELFL_02492	tRNA	76				tRNA-Asn(gtt)
LMAHELFL_02493	CDS	1425	yeeO		COG0534	putative FMN/FAD exporter YeeO
LMAHELFL_02494	tRNA	76				tRNA-Asn(gtt)
LMAHELFL_02495	CDS	930	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
LMAHELFL_02496	CDS	1071	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
LMAHELFL_02497	CDS	744	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
LMAHELFL_02498	CDS	546	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
LMAHELFL_02499	CDS	1521	cobQ		COG1492	Cobyric acid synthase
LMAHELFL_02500	CDS	816	cbiO	7.-.-.-	COG1122	Cobalt import ATP-binding protein CbiO
LMAHELFL_02501	CDS	678	cbiQ		COG0619	Cobalt transport protein CbiQ
LMAHELFL_02502	CDS	282	cbiN		COG1930	Cobalt transport protein CbiN
LMAHELFL_02503	CDS	738	cbiM		COG0310	Cobalt transport protein CbiM
LMAHELFL_02504	CDS	714	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
LMAHELFL_02505	CDS	795	cbiK	4.99.1.3	COG4822	Sirohydrochlorin cobaltochelatase
LMAHELFL_02506	CDS	792	cbiJ	1.3.1.106	COG2099	Cobalt-precorrin-6A reductase
LMAHELFL_02507	CDS	726	cbiH	2.1.1.-	COG1010	putative cobalt-factor III C(17)-methyltransferase
LMAHELFL_02508	CDS	1056	cbiG	3.7.1.12	COG2073	Cobalt-precorrin-5A hydrolase
LMAHELFL_02509	CDS	774	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
LMAHELFL_02510	CDS	579	cbiT	2.1.1.196	COG2242	Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)
LMAHELFL_02511	CDS	606	cbiE	2.1.1.289	COG2241	Cobalt-precorrin-7 C(5)-methyltransferase
LMAHELFL_02512	CDS	1140	cbiD	2.1.1.195	COG1903	Cobalt-precorrin-5B C(1)-methyltransferase
LMAHELFL_02513	CDS	633	cbiC	5.4.99.60	COG2082	Cobalt-precorrin-8 methylmutase
LMAHELFL_02514	CDS	960	cobD_2		COG1270	Cobalamin biosynthesis protein CobD
LMAHELFL_02515	CDS	1380	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
LMAHELFL_02516	CDS	912	rhaS_5			HTH-type transcriptional activator RhaS
LMAHELFL_02517	CDS	795	pduF		COG0580	Propanediol diffusion facilitator
LMAHELFL_02518	CDS	285	pduA_1		COG4577	Propanediol utilization protein PduA
LMAHELFL_02519	CDS	813	pduB		COG4816	Propanediol utilization protein PduB
LMAHELFL_02520	CDS	1665	pduC	4.2.1.28	COG4909	Propanediol dehydratase large subunit
LMAHELFL_02521	CDS	675	pduD	4.2.1.28		Propanediol dehydratase medium subunit
LMAHELFL_02522	CDS	522	pduE	4.2.1.28	COG4910	Propanediol dehydratase small subunit
LMAHELFL_02523	CDS	1833	ddrA_3			Diol dehydratase-reactivating factor alpha subunit
